Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2021-05-21,46.58333333,5.166666667,13.75,3.208333333,44.625
2021-05-22,46.375,6,12.29166667,3.083333333,42.04166667
2021-05-23,46.75,14.83333333,9.083333333,2.416666667,43.375
2021-05-24,37.95833333,8.583333333,11.70833333,2.625,38.66666667
2021-05-25,33.20833333,4,14.66666667,3.833333333,33.16666667
2021-05-26,36.5,7.5,14.16666667,4.666666667,44.625
2021-05-27,41.95833333,6.916666667,13.58333333,3.125,44.58333333
2021-05-28,51.875,14.5,16.16666667,4.875,52.625
2021-05-29,47.91666667,8.666666667,11.91666667,4.041666667,52.54166667
2021-05-30,34.5,3.416666667,10.54166667,3,48.16666667
2021-05-31,39.58333333,3.25,12.91666667,3.708333333,42.29166667
2021-06-01,39.83333333,11,12.33333333,4.791666667,49.95833333
2021-06-02,26.66666667,7.25,13.04166667,3.708333333,40.33333333
2021-06-03,33.41666667,3.833333333,15.29166667,4.791666667,29.58333333
2021-06-04,20.125,2.083333333,19.08333333,7.083333333,32.375
2021-06-05,24.875,3.416666667,17.20833333,7.416666667,41.16666667
2021-06-06,42.54166667,5.333333333,13.70833333,5.166666667,37.79166667
2021-06-07,32.95833333,4.416666667,15.45833333,5.083333333,35.04166667
2021-06-08,47.75,3.666666667,18.16666667,5.25,40.5
2021-06-09,36.04166667,6.833333333,17.125,6,53.95833333
2021-06-10,24.04166667,12.08333333,11.08333333,3.875,44.5
2021-06-11,21.66666667,15.58333333,14.70833333,3.833333333,27.625
2021-06-12,18.08333333,7.416666667,13.25,3.708333333,24.29166667
2021-06-13,22.04166667,4,11.625,5.083333333,25.95833333
2021-06-14,11.20833333,2.666666667,9.208333333,4.833333333,20.70833333
2021-06-15,18.54166667,2,8.541666667,3.5,15.08333333
2021-06-16,30.625,3.833333333,9.083333333,2.833333333,22.70833333
2021-06-17,21.08333333,6.166666667,9.541666667,3.041666667,22.41666667
2021-06-18,14.95833333,2,11.20833333,3.75,19.04166667
2021-06-19,10.125,2,6.458333333,3.541666667,12.54166667
2021-06-20,15.375,2,7.75,3.5,11.25
2021-06-21,33.33333333,2.75,13.41666667,5.25,24.91666667
2021-06-22,37.375,4,16.5,5.458333333,34.875
2021-06-23,24.79166667,2.5,13.58333333,4.708333333,27.08333333
2021-06-24,25.875,4.166666667,15.125,5.208333333,24.625
2021-06-25,11.875,4,13.08333333,5.291666667,25.75
2021-06-26,13.125,3,8.041666667,4.041666667,19.79166667
2021-06-27,9.291666667,2,6.666666667,3.125,13.5
2021-06-28,11.375,2,9.166666667,4.125,10.125
2021-06-29,15.33333333,2,13.75,5.583333333,15.375
2021-06-30,16,2,13.79166667,5.583333333,25.5
2021-07-01,13.45833333,2,14.41666667,5.5,30.75
2021-07-02,10.33333333,2,13.33333333,5.666666667,27.5
2021-07-03,10.66666667,2,12.45833333,6.416666667,27.29166667
2021-07-04,30.54166667,2.833333333,15.08333333,6.958333333,37.16666667
2021-07-05,34.33333333,3.166666667,16.54166667,6.583333333,44.625
2021-07-06,32.91666667,5.166666667,20.375,7.291666667,50.04166667
2021-07-07,31.66666667,7,20.5,7.333333333,56.83333333
2021-07-08,20.91666667,6.583333333,16.95833333,5.375,50.5
2021-07-09,19.29166667,2.583333333,11.125,4.375,27.33333333
2021-07-10,29.95833333,3.416666667,15.33333333,5.083333333,30.45833333
2021-07-11,39,5.5,9.708333333,4.75,48.41666667
2021-07-12,33.04166667,6,11.375,4.208333333,52.66666667
2021-07-13,18.91666667,8,14.5,4.791666667,63
2021-07-14,23.91666667,6.833333333,12.95833333,4.75,43.5
2021-07-15,18.20833333,6.5,13.875,4.333333333,37.58333333
2021-07-16,17.83333333,5.25,12.5,6.666666667,36.16666667
2021-07-17,22.375,6.166666667,11.41666667,4.875,49.66666667
2021-07-18,25,9.083333333,9.666666667,4.041666667,53
2021-07-19,32.54166667,8.083333333,11.29166667,4.666666667,29.08333333
2021-07-20,32.16666667,5.916666667,14.375,4.458333333,30.25
2021-07-21,28.70833333,5.583333333,13.75,4.5,39.54166667
2021-07-22,22.41666667,2.75,15.45833333,4.208333333,36.66666667
2021-07-23,34.08333333,4.25,13.33333333,4.583333333,51.83333333
2021-07-24,43.58333333,6.583333333,12.54166667,4.125,71.20833333
2021-07-25,34.875,6.333333333,13.95833333,4.5,53.70833333
2021-07-26,25.20833333,4,14.75,5.333333333,32.79166667
2021-07-27,33.20833333,3.75,15.29166667,5,34.875
2021-07-28,28.08333333,4,13.125,3.791666667,40.25
2021-07-29,27.25,2.833333333,10.5,3.75,36.04166667
2021-07-30,15.20833333,2,11.70833333,3.916666667,28.95833333
2021-07-31,24.54166667,3.166666667,11.875,4.458333333,36.20833333
2021-08-01,28.5,4,13.41666667,6.083333333,41.625
2021-08-02,32.5,5.666666667,15.41666667,5.583333333,29.875
2021-08-03,19.16666667,4.166666667,14.41666667,4.5,27.79166667
2021-08-04,26.54166667,4,13.95833333,5.041666667,30
2021-08-05,31.04166667,4,11.875,4.458333333,31.41666667
2021-08-06,22.08333333,4,14.58333333,4.916666667,39.04166667
2021-08-07,34.91666667,7.666666667,11.83333333,4.125,42.79166667
2021-08-08,21.75,5.916666667,12,3.541666667,38.20833333
2021-08-09,25.29166667,4,16.33333333,5.916666667,33.79166667
2021-08-10,29.08333333,4,11.91666667,4.333333333,40.20833333
2021-08-11,30.91666667,4.583333333,12.75,4,34.66666667
2021-08-12,34.29166667,9.916666667,13.75,5.083333333,36.625
2021-08-13,29.66666667,8,16.79166667,5.375,39.91666667
2021-08-14,18.58333333,5,12.91666667,5.083333333,36.41666667
2021-08-15,23.375,3.75,7.666666667,2.458333333,24.5
2021-08-16,30,5.25,9.916666667,3,23.83333333
2021-08-17,25.66666667,4.916666667,15.125,4.166666667,32.875
2021-08-18,30.33333333,4.666666667,13.58333333,5.458333333,36.16666667
2021-08-19,25.54166667,5.583333333,10.41666667,3.791666667,44.29166667
2021-08-20,15.83333333,16.33333333,10.5,3.875,37.95833333
2021-08-21,13.25,13.75,10.54166667,3.833333333,23.45833333
2021-08-22,20.54166667,4.083333333,10.41666667,4.583333333,20.125
2021-08-23,19.33333333,4,11.33333333,3.458333333,24.33333333
2021-08-24,17.375,4,10.375,3.25,23.375
2021-08-25,17.70833333,2.333333333,8.625,2.666666667,20.75
2021-08-26,22.91666667,2.666666667,9.916666667,3.666666667,25.25
2021-08-27,15.5,5.083333333,13,4.75,44.25
2021-08-28,9.583333333,4.583333333,7.125,3.708333333,32.33333333
2021-08-29,10.79166667,2.083333333,10.41666667,4.583333333,16.45833333
2021-08-30,7.916666667,4,14.33333333,6.5,19.625
2021-08-31,14.58333333,4,14.58333333,5.916666667,19.375
2021-09-01,15.58333333,4,18.75,6.041666667,20.5
2021-09-02,15.16666667,4,17.66666667,5.916666667,23.75
2021-09-03,11.70833333,3.666666667,18.04166667,6.833333333,23.375
2021-09-04,27.83333333,2,13.29166667,5.208333333,28.66666667
2021-09-05,20.5,9.416666667,10.125,3.541666667,34.54166667
2021-09-06,25.25,6.666666667,16.54166667,4.416666667,26.5
2021-09-07,17.75,2.166666667,16.79166667,5.041666667,25
2021-09-08,25.625,3.25,14.45833333,5.458333333,23.66666667
2021-09-09,24.29166667,2,11.08333333,3.708333333,22.375
2021-09-10,26.625,2,10.91666667,2.958333333,28.41666667
2021-09-11,28.125,2,10.41666667,3.416666667,30.33333333
2021-09-12,21.5,2,7.916666667,1.916666667,20.875
2021-09-13,11.83333333,2,8.125,3.458333333,15.875
2021-09-14,11.75,2,8.208333333,3.458333333,13.375
2021-09-15,22.45833333,3,13.75,5.333333333,25.04166667
2021-09-16,25.83333333,4.833333333,13.29166667,4.875,64.66666667
2021-09-17,35.45833333,7.083333333,15.33333333,5.25,47.66666667
2021-09-18,18.45833333,5.583333333,12.70833333,4.166666667,31.45833333
2021-09-19,14.95833333,3.333333333,10,3.208333333,19.5
2021-09-20,22.41666667,2.666666667,14.95833333,5.333333333,20.83333333
2021-09-21,29.29166667,10.08333333,13.875,4.791666667,37.125
2021-09-22,19.54166667,8.083333333,9.375,2.791666667,33.66666667
2021-09-23,17.08333333,2.166666667,11.20833333,3.125,24.625
2021-09-24,26.375,4.5,14.875,3.666666667,34.75
2021-09-25,26.5,7.166666667,13.375,3.541666667,40.08333333
2021-09-26,37.04166667,7.583333333,10.79166667,2.583333333,38.125
2021-09-27,21.04166667,6,14.54166667,4.083333333,28.54166667
2021-09-28,22.875,4,16.66666667,5.208333333,32.25
2021-09-29,39.16666667,4.75,16.5,4.833333333,39.66666667
2021-09-30,18.5,6,18.5,4.791666667,42.20833333
2021-10-01,12.70833333,4.25,17.54166667,5.291666667,31.25
2021-10-02,37.54166667,4,15.375,8.166666667,28.875
2021-10-03,28.58333333,3.833333333,9.125,3.625,28
2021-10-04,15.91666667,2.916666667,9.5,3.125,21.08333333
2021-10-05,12.20833333,2,9.25,2.791666667,20.625
2021-10-06,11.875,2,13.70833333,4.166666667,21.375
2021-10-07,27,3.333333333,13.58333333,5.083333333,30.58333333
2021-10-08,20.70833333,13.33333333,14.95833333,5.416666667,38.70833333
2021-10-09,32.41666667,13.25,11.41666667,4.583333333,42.33333333
2021-10-10,21.125,6.416666667,11.75,4.708333333,31.45833333
2021-10-11,38.16666667,3,14.91666667,6.291666667,32.16666667
2021-10-12,26,4,14.70833333,5.083333333,46.33333333
2021-10-13,21.25,4,15,5.916666667,44.91666667
2021-10-14,33.16666667,4.833333333,15.79166667,6.291666667,43
2021-10-15,21.29166667,5.583333333,14.95833333,4.458333333,48.91666667
2021-10-16,19.20833333,2.833333333,8.333333333,2.125,37.58333333
2021-10-17,18.41666667,2,7.5,2,19.04166667
2021-10-18,19.91666667,3.333333333,13.95833333,4.083333333,22.29166667
2021-10-19,28.25,5.333333333,16.54166667,4.833333333,35.29166667
2021-10-20,23.875,6.916666667,15.375,4.875,53.70833333
2021-10-21,13.04166667,9.666666667,10.58333333,3.75,43.66666667
2021-10-22,10.79166667,4.5,10.54166667,3.291666667,26.375
2021-10-23,23.20833333,4.583333333,14.54166667,4.291666667,33.5
2021-10-24,17.20833333,5.583333333,10.66666667,4,28.625
2021-10-25,6.916666667,4,12.875,6.708333333,26.5
2021-10-26,13.04166667,4,12.58333333,7.583333333,30.875
2021-10-27,15.41666667,2.833333333,11.375,4.416666667,24.25
2021-10-28,29.08333333,3.5,18.875,5.958333333,35.16666667
2021-10-29,25.33333333,5.666666667,18.91666667,6.416666667,52.41666667
2021-10-30,21.45833333,18.16666667,18.29166667,5.416666667,52.91666667
2021-10-31,31.16666667,11.66666667,16,6.333333333,43.875
2021-11-01,26.75,9.25,17.83333333,5.916666667,38.91666667
2021-11-02,18.54166667,14.75,14.91666667,4.5,45
2021-11-03,13.95833333,21.58333333,19.375,5.666666667,39.625
2021-11-04,17.58333333,27.58333333,18.66666667,5.916666667,49.45833333
2021-11-05,19.54166667,18.83333333,17.5,4.333333333,49
2021-11-06,18.75,11,15.66666667,4.041666667,50.70833333
2021-11-07,28,19.33333333,12.41666667,2.625,43.125
2021-11-08,27.41666667,11.66666667,16.5,4.083333333,41.75
2021-11-09,25.875,23,18.25,3.958333333,60.33333333
2021-11-10,37.16666667,13.75,19.54166667,5.541666667,60.58333333
2021-11-11,25.20833333,8.666666667,18.45833333,5.833333333,65.41666667
2021-11-12,23.625,6.833333333,16.79166667,3.791666667,47.45833333
2021-11-13,21.08333333,18.5,12.04166667,2.333333333,40.5
2021-11-14,25.33333333,5.916666667,11.54166667,2.458333333,33.04166667
2021-11-15,20.58333333,8.166666667,12.95833333,2.583333333,38.125
2021-11-16,21.95833333,14.16666667,21.08333333,5.333333333,51.125
2021-11-17,34.25,8.916666667,23.45833333,5.833333333,52.95833333
2021-11-18,26.79166667,6,19.625,5.833333333,60.79166667
2021-11-19,12.08333333,4.75,12.54166667,3.125,48.54166667
2021-11-20,19.45833333,3.166666667,14.875,4.125,33.91666667
2021-11-21,26.70833333,5.083333333,12.29166667,4.625,38.5
2021-11-22,16.125,16.16666667,11.83333333,4.458333333,39.16666667
2021-11-23,18.91666667,8.416666667,14.29166667,3.791666667,34.54166667
2021-11-24,12.25,8.833333333,17.58333333,6.125,46.70833333
2021-11-25,24.91666667,8.333333333,18.79166667,7.083333333,55.20833333
2021-11-26,27.33333333,9.583333333,14.20833333,4.416666667,55.33333333
2021-11-27,30.54166667,14.41666667,19.54166667,6.208333333,57.54166667
2021-11-28,36.625,10.5,16.75,6.666666667,73.79166667
2021-11-29,23.20833333,7.833333333,16.875,4.166666667,60.125
2021-11-30,20.70833333,13.75,19.25,5.791666667,62.08333333
2021-12-01,13.54166667,7.666666667,17.08333333,6.041666667,65.04166667
2021-12-02,15.79166667,5.833333333,16.54166667,6.333333333,51.875
2021-12-03,12.95833333,19.16666667,20.875,7.041666667,55.45833333
2021-12-04,16.83333333,11.58333333,16.83333333,6.666666667,61.54166667
